n_registros,agregar_s_prom,agregar_s_std,verificar_s_prom,verificar_s_std,errores_http,cadena_valida,tasa_exito,tamano_cadena
10,0.015417280024848878,0.004586610348003363,0.015250233351252973,0.0012215287457587988,0,True,1.0,11
100,0.014640837999759243,0.005429317466364518,0.015627499980231125,0.008347809729875188,0,True,1.0,111
1000,0.019159761600778438,0.007404578592069128,0.024897299978571635,0.00046032629252061667,0,True,1.0,1111
50,0.4530877072000876,0.028460900668351947,0.10399483998771757,0.052004461359043304,0,True,1.0,252
